newid,lact_num,calv_date,alp_date,avg_milk,avg_thi3,avg_csi3,avg_thi30,avg_csi30,avg_precspring
110792,4,2002-11-24,2003-06-15,13.13,66.19,993.26,61.36,1002.71,81.33
146734,1,2004-01-11,2004-06-25,20.21,50.23,1070.88,53.13,1060.34,61.69
71067,6,2006-09-04,2007-06-23,10.87,55.91,1008.56,55.57,1083.06,180.53
329305,2,2012-11-25,2013-06-28,16.27,59.19,992.82,58.62,1036.49,165.35
156483,2,2005-09-27,2006-05-28,15.00,63.99,1059.87,58.56,1074.55,133.79
129699,6,2005-10-23,2006-06-04,16.63,53.14,1115.99,62.50,1037.02,164.91
286714,1,2008-12-29,2009-06-30,12.17,60.83,1022.35,59.79,1049.90,143.62
273451,5,2010-12-09,2011-06-14,14.63,62.48,1037.79,61.59,1023.82,132.51
253764,10,2014-02-20,2014-06-09,19.76,51.44,1067.07,53.91,1041.38,81.78
90547,2,2003-02-20,2003-05-29,19.55,59.47,1013.13,56.45,1055.71,92.32
261076,1,2009-02-14,2009-06-26,19.06,54.13,1037.19,54.27,1031.16,90.17
